Date,Timezone,Ticker,ShortName,RedCode,Tier,Ccy,DocClause, Spread6m , Spread1y , Spread2y , Spread3y , Spread4y , Spread5y , Spread7y , Spread10y , Spread15y , Spread20y , Spread30y , Recovery ,DataRating,Sector,Region,Country,AvRating,ImpliedRating
20/Apr/18,L,AUST,Rep Austria,0F77EA,SNRFOR,EUR,CR14,0.00016598,0.00020336,0.00031246,0.00045381,0.00062254,0.00084937,0.00129624,0.00184439,0.00254153,0.00277825,0.00283757,0.4,,Government,Europe,Austria,AA,AAA
20/Apr/18,L,BELG,Kdom Belgium,BC236K,SNRFOR,EUR,CR14,0.00027136,0.00031547,0.00039613,0.0005845,0.00076354,0.00095981,0.00158065,0.00224041,0.00271471,0.00345437,0.00348561,0.4,,Government,Europe,Belgium,AA,AAA
20/Apr/18,L,CAMP,Region of Campania,TV646C,SNRFOR,EUR,CR,0.00384837,0.00511616,0.00709727,0.00925574,0.01068833,0.01288818,,0.01782992,0.01974069,0.02019698,0.0196823,0.4,,Government,Europe,Italy,BBB,BB
20/Apr/18,L,CYPRUS,Rep Cyprus,MUA36B,SNRFOR,EUR,CR14,0.00484294,0.00621079,0.00880052,0.01074076,0.01205552,0.01365711,0.01507966,0.01586051,0.0161345,0.01644934,0.01692739,0.4,,Government,Europe,Cyprus,BB,BB
20/Apr/18,L,DBR,Fed Rep Germany,3AB549,SNRFOR,EUR,CR14,0.00013887,0.00015539,0.00025626,0.00036805,0.00048614,0.00062678,0.00092428,0.00133645,0.00156515,0.00172556,0.0017695,0.4,,Government,Europe,Germany,AAA,AAA
20/Apr/18,L,ESS,Essent N V,NQ37E9,SNRFOR,EUR,CR14,0.00060596,0.00079212,0.00145861,0.00265131,0.00424036,0.00542997,0.0059906,0.0066567,0.00687892,0.00691,0.00698157,0.4,,Government,Europe,Netherlands,,BBB
20/Apr/18,L,ESTONI,Rep Estonia,2BGCDG,SNRFOR,EUR,CR14,0.00209691,0.00243384,0.00315718,0.00414614,0.00512795,0.00614221,0.00718447,0.0079675,0.00845134,0.00861359,0.00874265,0.25,,Government,E.Eur,Estonia,A,BBB
20/Apr/18,L,FINL,Rep Finland,348FFA,SNRFOR,EUR,CR14,0.00019302,0.00022847,0.00034514,0.00050771,0.00070469,0.00088165,0.00136293,0.00188658,0.00258381,0.00271542,0.0026778,0.4,,Government,Europe,Finland,AA,AAA
20/Apr/18,L,FRTR,French Rep,3I68EE,SNRFOR,EUR,CR14,0.00016193,0.00024724,0.00041908,0.00061681,0.00083676,0.00109841,0.00170737,0.00241973,0.00297368,0.00302684,0.00315463,0.4,,Government,Europe,France,AA,AAA
20/Apr/18,L,GENCAT,Generalitat de Catalunya,3A85B7,SNRFOR,EUR,CR14,,0.02009313,0.02262669,0.02441423,0.02574359,0.02718883,0.0293362,0.03063897,,,,0.4,,Government,Europe,Spain,BB,B
20/Apr/18,L,GREECE,Hellenic Rep,4G5656,SNRFOR,EUR,CR14,0.0157804,0.01673383,0.02198507,0.02472359,0.02833686,0.03132004,0.03458908,0.03677891,0.03878428,0.04113308,0.04570481,0.4,,Government,Europe,Greece,B,B
